EncuestaID,SaborPreferido,PresentacionPreferida
793,Queso,Tamaño Fiesta O Reunión
794,Chocolate,Familiar
795,Limón,Individual
796,Picante Chapín,Individual
797,Barbacoa,Tamaño Fiesta O Reunión
798,Salado Tradicional,Tamaño Fiesta O Reunión
799,Jalapeño,Familiar
800,Limón,Tamaño Fiesta O Reunión
801,Barbacoa,Familiar
802,Queso,Para Compartir Entre 2 Personas
803,Picante Chapín,Para Compartir Entre 2 Personas
804,Queso,Para Compartir Entre 2 Personas
805,Picante Chapín,Familiar
806,Chocolate,Individual
807,Jalapeño,Individual
808,Queso,Familiar
809,Caramelo,Familiar
810,Picante Chapín,Familiar
811,Limón,Individual
812,Limón,Familiar
813,Chocolate,Familiar
814,Chocolate,Tamaño Fiesta O Reunión
815,Barbacoa,Familiar
816,Queso,Tamaño Fiesta O Reunión
817,Salado Tradicional,Para Compartir Entre 2 Personas
818,Picante Chapín,Tamaño Fiesta O Reunión
819,Barbacoa,Tamaño Fiesta O Reunión
820,Jalapeño,Para Compartir Entre 2 Personas
821,Queso,Tamaño Fiesta O Reunión
822,Chocolate,Familiar
823,Picante Chapín,Tamaño Fiesta O Reunión
824,Barbacoa,Tamaño Fiesta O Reunión
825,Limón,Individual
826,Queso,Tamaño Fiesta O Reunión
827,Barbacoa,Tamaño Fiesta O Reunión
828,Picante Chapín,Familiar
829,Barbacoa,Para Compartir Entre 2 Personas
830,Picante Chapín,Individual
831,Barbacoa,Individual
832,Chocolate,Para Compartir Entre 2 Personas
833,Queso,Familiar
834,Barbacoa,Familiar
835,Queso,Tamaño Fiesta O Reunión
836,Barbacoa,Tamaño Fiesta O Reunión
837,Barbacoa,Para Compartir Entre 2 Personas
838,Queso,Familiar
839,Barbacoa,Tamaño Fiesta O Reunión
840,Chocolate,Individual
841,Limón,Tamaño Fiesta O Reunión
842,Queso,Tamaño Fiesta O Reunión
843,Queso,Individual
844,Limón,Familiar
845,Barbacoa,Familiar
846,Jalapeño,Para Compartir Entre 2 Personas
847,Chocolate,Para Compartir Entre 2 Personas
848,Jalapeño,Individual
849,Dulce,Familiar
850,Limón,Tamaño Fiesta O Reunión
851,Jalapeño,Familiar
852,Limón,Familiar
853,Picante Chapín,Para Compartir Entre 2 Personas
854,Salado Tradicional,Individual
855,Queso,Tamaño Fiesta O Reunión
856,Salado Tradicional,Individual
857,Chocolate,Individual
858,Jalapeño,Familiar
859,Salado Tradicional,Familiar
860,Picante Chapín,Tamaño Fiesta O Reunión
861,Limón,Familiar
862,Jalapeño,Familiar
863,Barbacoa,Familiar
864,Jalapeño,Individual
865,Queso,Tamaño Fiesta O Reunión
866,Jalapeño,Individual
867,Chocolate,Familiar
868,Dulce,Familiar
869,Jalapeño,Familiar
870,Barbacoa,Tamaño Fiesta O Reunión
871,Chocolate,Para Compartir Entre 2 Personas
872,Jalapeño,Para Compartir Entre 2 Personas
873,Queso,Individual
874,Barbacoa,Familiar
875,Queso,Familiar
876,Picante Chapín,Tamaño Fiesta O Reunión
877,Queso,Individual
878,Queso,Individual
879,Picante Chapín,Familiar
880,Limón,Para Compartir Entre 2 Personas
881,Jalapeño,Individual
882,Barbacoa,Individual
883,Barbacoa,Individual
884,Limón,Familiar
885,Barbacoa,Familiar
886,Barbacoa,Tamaño Fiesta O Reunión
95,Limón,Individual
888,Caramelo,Tamaño Fiesta O Reunión
889,Queso,Familiar
890,Jalapeño,Individual
891,Chocolate,Individual
892,Queso,Familiar
893,Chocolate,Familiar
894,Limón,Individual
895,Caramelo,Familiar
896,Barbacoa,Individual
897,Queso,Para Compartir Entre 2 Personas
898,Dulce,Individual
899,Queso,Familiar
900,Salado Tradicional,Familiar
901,Jalapeño,Individual
902,Picante Chapín,Tamaño Fiesta O Reunión
903,Caramelo,Tamaño Fiesta O Reunión
904,Salado Tradicional,Tamaño Fiesta O Reunión
905,Picante Chapín,Tamaño Fiesta O Reunión
906,Caramelo,Tamaño Fiesta O Reunión
907,Picante Chapín,Familiar
908,Chocolate,Tamaño Fiesta O Reunión
909,No Indicado,Para Compartir Entre 2 Personas
910,Jalapeño,Tamaño Fiesta O Reunión
911,Picante Chapín,Familiar
912,Barbacoa,Familiar
913,Limón,Tamaño Fiesta O Reunión
914,Barbacoa,Individual
915,Limón,Para Compartir Entre 2 Personas
916,Queso,Para Compartir Entre 2 Personas
917,Queso,Para Compartir Entre 2 Personas
918,Salado Tradicional,Individual
919,Limón,Tamaño Fiesta O Reunión
920,Limón,Individual
921,Chocolate,Para Compartir Entre 2 Personas
922,Jalapeño,Familiar
923,Barbacoa,Familiar
924,Barbacoa,Individual
925,Barbacoa,Individual
926,Picante Chapín,Familiar
927,Queso,Familiar
928,Queso,Tamaño Fiesta O Reunión
929,Picante Chapín,Individual
930,Limón,Para Compartir Entre 2 Personas
931,Limón,Individual
932,Caramelo,Individual
933,Limón,Para Compartir Entre 2 Personas
934,Picante Chapín,Familiar
935,Barbacoa,Para Compartir Entre 2 Personas
936,Queso,Para Compartir Entre 2 Personas
937,Barbacoa,Para Compartir Entre 2 Personas
617,Limón,Para Compartir Entre 2 Personas
939,Picante Chapín,Tamaño Fiesta O Reunión
940,Limón,Familiar
941,Dulce,Familiar
942,Barbacoa,Familiar
943,Jalapeño,Individual
944,Limón,Familiar
945,Salado Tradicional,Individual
946,Picante Chapín,Para Compartir Entre 2 Personas
947,Limón,Familiar
948,Limón,Familiar
949,Jalapeño,Individual
950,Chocolate,Familiar
951,Chocolate,Tamaño Fiesta O Reunión
952,Chocolate,Individual
953,Barbacoa,Para Compartir Entre 2 Personas
954,Queso,Familiar
955,Picante Chapín,Familiar
956,Barbacoa,Familiar
957,Limón,Tamaño Fiesta O Reunión
958,Jalapeño,Familiar
959,Barbacoa,Familiar
960,Limón,Individual
961,Barbacoa,Para Compartir Entre 2 Personas
962,Queso,Para Compartir Entre 2 Personas
963,Picante Chapín,Familiar
964,Picante Chapín,Individual
965,Queso,Familiar
966,Barbacoa,Para Compartir Entre 2 Personas
967,Picante Chapín,Para Compartir Entre 2 Personas
968,Salado Tradicional,Individual
969,Limón,Familiar
970,Picante Chapín,Familiar
971,Queso,Individual
972,Jalapeño,Tamaño Fiesta O Reunión
973,Jalapeño,Para Compartir Entre 2 Personas
974,Queso,Individual
975,Caramelo,Individual
976,Jalapeño,Tamaño Fiesta O Reunión
977,Jalapeño,Familiar
978,Jalapeño,Familiar
979,Barbacoa,Familiar
980,Caramelo,Para Compartir Entre 2 Personas
981,Picante Chapín,Tamaño Fiesta O Reunión
982,Jalapeño,Familiar
983,Picante Chapín,Para Compartir Entre 2 Personas
984,Salado Tradicional,Familiar
985,Barbacoa,Para Compartir Entre 2 Personas
986,Salado Tradicional,Familiar
987,Salado Tradicional,Familiar
988,Chocolate,Para Compartir Entre 2 Personas
989,Jalapeño,Individual
990,Salado Tradicional,Individual
991,Queso,Familiar
992,Queso,Para Compartir Entre 2 Personas
993,Barbacoa,Para Compartir Entre 2 Personas
994,Salado Tradicional,Individual
995,Caramelo,Familiar
996,Picante Chapín,Individual
997,Picante Chapín,Familiar
998,Picante Chapín,Para Compartir Entre 2 Personas
999,Jalapeño,Para Compartir Entre 2 Personas
1000,Jalapeño,Tamaño Fiesta O Reunión
1001,Picante Chapín,Para Compartir Entre 2 Personas
1002,Jalapeño,Individual
1003,Salado Tradicional,Tamaño Fiesta O Reunión
1004,Barbacoa,Familiar
1005,Caramelo,Tamaño Fiesta O Reunión
1006,Salado Tradicional,Familiar
1007,Picante Chapín,Para Compartir Entre 2 Personas
1008,Queso,Para Compartir Entre 2 Personas
1009,Queso,Individual
1010,Queso,Familiar
1011,Queso,Familiar
1012,Jalapeño,Familiar
1013,Dulce,Tamaño Fiesta O Reunión
1014,Salado Tradicional,Familiar
1015,Limón,Familiar
1016,Caramelo,Para Compartir Entre 2 Personas
1017,Picante Chapín,Familiar
1018,Limón,Familiar
1019,Dulce,Para Compartir Entre 2 Personas
1020,Limón,Para Compartir Entre 2 Personas
1021,Barbacoa,Familiar
1022,Queso,Para Compartir Entre 2 Personas
1023,Queso,Para Compartir Entre 2 Personas
1024,Chocolate,Familiar
1025,Queso,Familiar
1026,Picante Chapín,Para Compartir Entre 2 Personas
1027,Picante Chapín,Individual
1028,Picante Chapín,Para Compartir Entre 2 Personas
1029,Salado Tradicional,Individual
1030,Dulce,Familiar
1031,Dulce,Individual
1032,Queso,Para Compartir Entre 2 Personas
1033,Chocolate,Familiar
1034,Queso,Para Compartir Entre 2 Personas
1035,Picante Chapín,Familiar
1036,Jalapeño,Tamaño Fiesta O Reunión
1037,Queso,Familiar
1038,Barbacoa,Para Compartir Entre 2 Personas
1039,Jalapeño,Para Compartir Entre 2 Personas
1040,Caramelo,Para Compartir Entre 2 Personas
1041,Queso,Familiar
1042,Salado Tradicional,Familiar
1043,Dulce,Familiar
1044,No Indicado,Familiar
1045,Caramelo,Para Compartir Entre 2 Personas
1046,Queso,Para Compartir Entre 2 Personas
1047,Limón,Para Compartir Entre 2 Personas
1048,Chocolate,Para Compartir Entre 2 Personas
1049,Picante Chapín,Tamaño Fiesta O Reunión
1050,Picante Chapín,Para Compartir Entre 2 Personas
1051,Picante Chapín,Para Compartir Entre 2 Personas
1052,Caramelo,Familiar
1053,Jalapeño,Individual
1054,Picante Chapín,Familiar
1055,Queso,Familiar
1056,Picante Chapín,Tamaño Fiesta O Reunión
1057,Queso,Para Compartir Entre 2 Personas
1058,Barbacoa,Tamaño Fiesta O Reunión
1059,Caramelo,Tamaño Fiesta O Reunión
1060,Barbacoa,Familiar
1061,Picante Chapín,Tamaño Fiesta O Reunión
1062,Dulce,Individual
1063,Caramelo,Para Compartir Entre 2 Personas
1064,Limón,Para Compartir Entre 2 Personas
1065,Queso,Individual
1066,Barbacoa,Para Compartir Entre 2 Personas
1067,Jalapeño,Familiar
1068,Queso,Individual
1069,Picante Chapín,Familiar
1070,Jalapeño,Para Compartir Entre 2 Personas
1071,Barbacoa,Familiar
1072,No Indicado,Para Compartir Entre 2 Personas
1073,Queso,Familiar
1074,Queso,Para Compartir Entre 2 Personas
1075,Picante Chapín,Individual
1076,Picante Chapín,Familiar
1077,Limón,Para Compartir Entre 2 Personas
1078,Salado Tradicional,Individual
1079,Queso,Para Compartir Entre 2 Personas
1080,Picante Chapín,Familiar
1081,Picante Chapín,Familiar
1082,Dulce,Familiar
1083,Picante Chapín,Tamaño Fiesta O Reunión
1084,Jalapeño,Familiar
1085,Picante Chapín,Para Compartir Entre 2 Personas
1086,Jalapeño,Para Compartir Entre 2 Personas
1087,Jalapeño,Tamaño Fiesta O Reunión
1088,Jalapeño,Familiar
1089,Barbacoa,Tamaño Fiesta O Reunión
2124,Barbacoa,Familiar
1091,Jalapeño,Para Compartir Entre 2 Personas
1092,Limón,Tamaño Fiesta O Reunión
1093,Picante Chapín,Familiar
1094,Picante Chapín,Tamaño Fiesta O Reunión
1095,Picante Chapín,Familiar
1096,Jalapeño,Para Compartir Entre 2 Personas
1097,Jalapeño,Para Compartir Entre 2 Personas
1098,Jalapeño,Individual
1099,Picante Chapín,Familiar
1100,Limón,Para Compartir Entre 2 Personas
1101,Chocolate,Tamaño Fiesta O Reunión
1102,Salado Tradicional,Para Compartir Entre 2 Personas
1103,Barbacoa,Familiar
1104,Dulce,Para Compartir Entre 2 Personas
1105,Barbacoa,Familiar
1106,Jalapeño,Familiar
1107,Limón,Para Compartir Entre 2 Personas
2199,Queso,Familiar
1109,Limón,Tamaño Fiesta O Reunión
1110,Chocolate,Familiar
1111,Salado Tradicional,Familiar
1112,Picante Chapín,Tamaño Fiesta O Reunión
1113,Queso,Para Compartir Entre 2 Personas
1114,Queso,Para Compartir Entre 2 Personas
1115,Picante Chapín,Familiar
558,Queso,Para Compartir Entre 2 Personas
1117,Jalapeño,Individual
1118,Limón,Familiar
1119,Picante Chapín,Familiar
1120,Queso,Individual
1121,Limón,Familiar
1122,Picante Chapín,Para Compartir Entre 2 Personas
1123,Jalapeño,Individual
1124,Chocolate,Para Compartir Entre 2 Personas
1125,No Indicado,Individual
1126,Salado Tradicional,Tamaño Fiesta O Reunión
1127,Picante Chapín,Individual
373,Dulce,Individual
1129,Barbacoa,Para Compartir Entre 2 Personas
1130,Barbacoa,Familiar
1131,Limón,Para Compartir Entre 2 Personas
1132,Limón,Familiar
1133,Chocolate,Familiar
1134,Limón,Individual
1135,Queso,Familiar
1136,Limón,Tamaño Fiesta O Reunión
1137,Limón,Tamaño Fiesta O Reunión
1138,Chocolate,Para Compartir Entre 2 Personas
1139,Queso,Tamaño Fiesta O Reunión
1140,Barbacoa,Individual
1141,Caramelo,Para Compartir Entre 2 Personas
1142,Limón,Individual
1143,Barbacoa,Individual
1144,Chocolate,Para Compartir Entre 2 Personas
1145,Picante Chapín,Familiar
1146,Dulce,Familiar
1147,Queso,Individual
1148,Barbacoa,Familiar
1149,Queso,Para Compartir Entre 2 Personas
1150,Dulce,Individual
1151,Caramelo,Familiar
1152,Queso,Familiar
1153,Picante Chapín,Tamaño Fiesta O Reunión
1154,Queso,Familiar
1155,Limón,Familiar
1156,Picante Chapín,Familiar
1157,Salado Tradicional,Familiar
1158,Picante Chapín,Para Compartir Entre 2 Personas
1159,Jalapeño,Familiar
1160,Jalapeño,Individual
1161,Barbacoa,Tamaño Fiesta O Reunión
1162,Jalapeño,Familiar
1163,Queso,Individual
1164,Jalapeño,Para Compartir Entre 2 Personas
1165,Picante Chapín,Para Compartir Entre 2 Personas
1166,Jalapeño,Familiar
1167,Chocolate,Individual
1168,Jalapeño,Individual
1169,Caramelo,Individual
1170,Jalapeño,Individual
1171,Chocolate,Individual
1172,Picante Chapín,Para Compartir Entre 2 Personas
1173,Picante Chapín,Familiar
1174,Salado Tradicional,Tamaño Fiesta O Reunión
1175,Barbacoa,Individual
1176,Picante Chapín,Individual
1177,Jalapeño,Familiar
1178,Limón,Familiar
1179,Picante Chapín,Para Compartir Entre 2 Personas
1180,Queso,Familiar
1181,Picante Chapín,Individual
1182,Barbacoa,Para Compartir Entre 2 Personas
1183,Picante Chapín,Para Compartir Entre 2 Personas
1184,Barbacoa,Para Compartir Entre 2 Personas
1185,Dulce,Familiar
1186,Picante Chapín,Familiar
1187,Picante Chapín,Para Compartir Entre 2 Personas
1481,Queso,Individual
1189,Barbacoa,Para Compartir Entre 2 Personas
1190,Queso,Para Compartir Entre 2 Personas
1191,Queso,Tamaño Fiesta O Reunión
1192,Picante Chapín,Individual
1193,Jalapeño,Individual
1194,Picante Chapín,Familiar
1195,Picante Chapín,Familiar
1196,Queso,Familiar
1197,Jalapeño,Tamaño Fiesta O Reunión
1198,Barbacoa,Para Compartir Entre 2 Personas
1199,Chocolate,Individual
1200,Barbacoa,Familiar
1201,Picante Chapín,Familiar
1202,Queso,Familiar
1203,Queso,Para Compartir Entre 2 Personas
1204,No Indicado,Tamaño Fiesta O Reunión
1205,Picante Chapín,Tamaño Fiesta O Reunión
1206,Picante Chapín,Tamaño Fiesta O Reunión
1207,Jalapeño,Tamaño Fiesta O Reunión
1208,Barbacoa,Individual
1209,Picante Chapín,Familiar
1210,Jalapeño,Familiar
1211,Picante Chapín,Para Compartir Entre 2 Personas
1212,Jalapeño,Individual
1213,Jalapeño,Individual
1214,Salado Tradicional,Para Compartir Entre 2 Personas
1215,Salado Tradicional,Para Compartir Entre 2 Personas
1216,Queso,Individual
1217,Limón,Familiar
1218,Picante Chapín,Tamaño Fiesta O Reunión
1219,Queso,Individual
1220,Picante Chapín,Para Compartir Entre 2 Personas
1221,Barbacoa,Para Compartir Entre 2 Personas
1222,Barbacoa,Familiar
1223,Picante Chapín,Para Compartir Entre 2 Personas
1224,Picante Chapín,Tamaño Fiesta O Reunión
1225,Limón,Familiar
1226,Limón,Para Compartir Entre 2 Personas
1227,Queso,Para Compartir Entre 2 Personas
1228,Queso,Familiar
1229,Jalapeño,Para Compartir Entre 2 Personas
1230,Dulce,Familiar
1231,No Indicado,Familiar
1232,Salado Tradicional,Individual
1233,Limón,Tamaño Fiesta O Reunión
1234,Picante Chapín,Tamaño Fiesta O Reunión
1235,Picante Chapín,Tamaño Fiesta O Reunión
1236,Picante Chapín,Para Compartir Entre 2 Personas
1237,Dulce,Individual
1238,Barbacoa,Familiar
1239,Queso,Familiar
1240,Chocolate,Individual
1241,Limón,Tamaño Fiesta O Reunión
1242,Dulce,Familiar
1243,Barbacoa,Tamaño Fiesta O Reunión
1244,Barbacoa,Para Compartir Entre 2 Personas
1245,Chocolate,Familiar
1246,Limón,Tamaño Fiesta O Reunión
1247,Barbacoa,Familiar
1248,Picante Chapín,Familiar
1249,Picante Chapín,Para Compartir Entre 2 Personas
1250,Picante Chapín,Individual
1251,Limón,Individual
1252,Picante Chapín,Individual
1253,Queso,Individual
1254,Picante Chapín,Para Compartir Entre 2 Personas
1255,Salado Tradicional,Individual
1256,Jalapeño,Tamaño Fiesta O Reunión
1257,Queso,Para Compartir Entre 2 Personas
1258,Limón,Tamaño Fiesta O Reunión
1259,Queso,Familiar
1260,Jalapeño,Familiar
1261,Queso,Familiar
1262,Queso,Familiar
1263,Queso,Para Compartir Entre 2 Personas
1264,Caramelo,Familiar
1265,Caramelo,Para Compartir Entre 2 Personas
1266,Salado Tradicional,Para Compartir Entre 2 Personas
1267,Picante Chapín,Para Compartir Entre 2 Personas
1268,Barbacoa,Individual
1269,Picante Chapín,Individual
1270,Salado Tradicional,Tamaño Fiesta O Reunión
1271,Queso,Para Compartir Entre 2 Personas
1864,Salado Tradicional,Tamaño Fiesta O Reunión
1273,Jalapeño,Individual
1274,Dulce,Tamaño Fiesta O Reunión
1275,Chocolate,Individual
1276,Picante Chapín,Familiar
1277,Picante Chapín,Individual
1278,Picante Chapín,Familiar
1279,Jalapeño,Tamaño Fiesta O Reunión
1280,Jalapeño,Tamaño Fiesta O Reunión
1281,Picante Chapín,Individual
1282,Caramelo,Para Compartir Entre 2 Personas
1283,Limón,Individual
1284,Queso,Para Compartir Entre 2 Personas
1285,Limón,Individual
1286,Queso,Tamaño Fiesta O Reunión
1287,Jalapeño,Familiar
1288,Queso,Para Compartir Entre 2 Personas
1289,Queso,Familiar
1290,Salado Tradicional,Tamaño Fiesta O Reunión
1291,Barbacoa,Individual
1292,Chocolate,Tamaño Fiesta O Reunión
1293,Jalapeño,Para Compartir Entre 2 Personas
1294,Jalapeño,Tamaño Fiesta O Reunión
1295,Barbacoa,Familiar
1296,Queso,Familiar
1297,Jalapeño,Para Compartir Entre 2 Personas
1298,Queso,Tamaño Fiesta O Reunión
1299,Picante Chapín,Familiar
1300,Picante Chapín,Familiar
1301,Chocolate,Familiar
1302,Picante Chapín,Para Compartir Entre 2 Personas
1303,Barbacoa,Familiar
1304,Picante Chapín,Familiar
1305,Limón,Individual
1306,Queso,Familiar
1307,Salado Tradicional,Para Compartir Entre 2 Personas
1308,Barbacoa,Familiar
1309,Queso,Para Compartir Entre 2 Personas
1310,Chocolate,Para Compartir Entre 2 Personas
1311,Caramelo,Tamaño Fiesta O Reunión
1312,Jalapeño,Para Compartir Entre 2 Personas
1313,Picante Chapín,Individual
1314,Salado Tradicional,Para Compartir Entre 2 Personas
1315,Chocolate,Individual
1316,Salado Tradicional,Para Compartir Entre 2 Personas
1317,Jalapeño,Familiar
1318,Queso,Individual
2405,Queso,Individual
1320,Picante Chapín,Tamaño Fiesta O Reunión
1321,Picante Chapín,Tamaño Fiesta O Reunión
1322,Barbacoa,Tamaño Fiesta O Reunión
1323,Picante Chapín,Para Compartir Entre 2 Personas
1324,Limón,Familiar
1325,Barbacoa,Tamaño Fiesta O Reunión
1326,Dulce,Tamaño Fiesta O Reunión
1327,Chocolate,Familiar
1328,Salado Tradicional,Para Compartir Entre 2 Personas
1329,Picante Chapín,Individual
1330,Dulce,Familiar
1331,Picante Chapín,Familiar
1332,Queso,Individual
1333,Queso,Para Compartir Entre 2 Personas
1334,Barbacoa,Tamaño Fiesta O Reunión
1335,Jalapeño,Para Compartir Entre 2 Personas
1336,Picante Chapín,Individual
1337,Limón,Familiar
538,Chocolate,Familiar
1339,Picante Chapín,Familiar
1340,Chocolate,Familiar
1341,Picante Chapín,Tamaño Fiesta O Reunión
1342,Limón,Familiar
1343,Barbacoa,Familiar
1344,Salado Tradicional,Individual
1345,Salado Tradicional,Familiar
1346,Picante Chapín,Individual
1347,Barbacoa,Familiar
1348,Queso,Para Compartir Entre 2 Personas
1349,Jalapeño,Tamaño Fiesta O Reunión
1350,Chocolate,Individual
1351,Queso,Familiar
1352,Queso,Familiar
1353,Picante Chapín,Tamaño Fiesta O Reunión
1354,Caramelo,Familiar
1355,Queso,Familiar
1356,Picante Chapín,Individual
1357,Caramelo,Tamaño Fiesta O Reunión
1358,Picante Chapín,Tamaño Fiesta O Reunión
1359,Limón,Familiar
1360,Chocolate,Para Compartir Entre 2 Personas
1361,Picante Chapín,Para Compartir Entre 2 Personas
1362,Limón,Para Compartir Entre 2 Personas
1363,Picante Chapín,Tamaño Fiesta O Reunión
1364,Caramelo,Familiar
1365,Barbacoa,Familiar
1366,Queso,Familiar
1367,Salado Tradicional,Para Compartir Entre 2 Personas
1368,Dulce,Para Compartir Entre 2 Personas
1369,Queso,Familiar
1370,Queso,Individual
1371,Picante Chapín,Para Compartir Entre 2 Personas
1372,Chocolate,Para Compartir Entre 2 Personas
1373,Chocolate,Para Compartir Entre 2 Personas
1374,Dulce,Individual
1375,Picante Chapín,Individual
1376,Barbacoa,Para Compartir Entre 2 Personas
1377,Chocolate,Familiar
1378,Barbacoa,Para Compartir Entre 2 Personas
1379,Picante Chapín,Para Compartir Entre 2 Personas
1380,Barbacoa,Para Compartir Entre 2 Personas
1381,Caramelo,Para Compartir Entre 2 Personas
1382,Caramelo,Familiar
1383,Picante Chapín,Familiar
1384,Queso,Individual
1385,Jalapeño,Familiar
1386,Barbacoa,Para Compartir Entre 2 Personas
1387,Jalapeño,Individual
1388,Chocolate,Familiar
1389,Chocolate,Familiar
1390,Limón,Individual
1391,Queso,Familiar
1392,Dulce,Familiar
1393,Limón,Familiar
1394,Dulce,Familiar
1395,Picante Chapín,Individual
1396,Salado Tradicional,Familiar
1397,Picante Chapín,Individual
1398,Queso,Individual
1399,Barbacoa,Tamaño Fiesta O Reunión
1400,Barbacoa,Familiar
1401,Picante Chapín,Familiar
1402,Jalapeño,Individual
1403,Picante Chapín,Familiar
1404,Queso,Familiar
1405,Salado Tradicional,Para Compartir Entre 2 Personas
1406,Limón,Familiar
1407,Dulce,Individual
1408,Jalapeño,Para Compartir Entre 2 Personas
1409,Barbacoa,Familiar
1410,Caramelo,Tamaño Fiesta O Reunión
1411,Jalapeño,Familiar
1412,Barbacoa,Para Compartir Entre 2 Personas
1413,Picante Chapín,Para Compartir Entre 2 Personas
1414,Queso,Individual
1415,No Indicado,Individual
1416,Dulce,Tamaño Fiesta O Reunión
1417,Dulce,Familiar
1418,Jalapeño,Para Compartir Entre 2 Personas
1419,Barbacoa,Para Compartir Entre 2 Personas
1420,Picante Chapín,Tamaño Fiesta O Reunión
1421,Salado Tradicional,Para Compartir Entre 2 Personas
1422,Caramelo,Familiar
2478,Salado Tradicional,Individual
1424,Queso,Para Compartir Entre 2 Personas
1425,Queso,Familiar
1426,Picante Chapín,Familiar
1427,Caramelo,Individual
1428,Picante Chapín,Individual
1429,Queso,Para Compartir Entre 2 Personas
1430,Caramelo,Familiar
1431,Dulce,Tamaño Fiesta O Reunión
1432,Caramelo,Familiar
1433,Queso,Para Compartir Entre 2 Personas
1434,Limón,Individual
1435,Queso,Familiar
1436,Queso,Individual
1437,Jalapeño,Familiar
1438,Barbacoa,Familiar
1439,Picante Chapín,Individual
1440,Queso,Para Compartir Entre 2 Personas
1441,Limón,Tamaño Fiesta O Reunión
1442,Salado Tradicional,Tamaño Fiesta O Reunión
1443,Queso,Para Compartir Entre 2 Personas
1444,Salado Tradicional,Para Compartir Entre 2 Personas
1445,Picante Chapín,Individual
1446,Barbacoa,Tamaño Fiesta O Reunión
1447,Dulce,Familiar
1448,Limón,Familiar
1449,Jalapeño,Para Compartir Entre 2 Personas
1450,Limón,Para Compartir Entre 2 Personas
1451,Dulce,Familiar
1452,Jalapeño,Para Compartir Entre 2 Personas
1453,Queso,Individual
1454,Queso,Para Compartir Entre 2 Personas
1455,Chocolate,Familiar
1456,Barbacoa,Familiar
1457,Salado Tradicional,Para Compartir Entre 2 Personas
1458,Salado Tradicional,Para Compartir Entre 2 Personas
927,Queso,Familiar
1460,Barbacoa,Tamaño Fiesta O Reunión
1461,Salado Tradicional,Familiar
1462,Picante Chapín,Individual
1463,Barbacoa,Para Compartir Entre 2 Personas
1464,Barbacoa,Tamaño Fiesta O Reunión
1465,Picante Chapín,Familiar
1466,Chocolate,Familiar
1467,Limón,Familiar
1468,Queso,Para Compartir Entre 2 Personas
1469,Caramelo,Individual
1470,Salado Tradicional,Tamaño Fiesta O Reunión
1471,Picante Chapín,Individual
1472,Picante Chapín,Individual
1473,Limón,Individual
1474,Salado Tradicional,Para Compartir Entre 2 Personas
1475,Chocolate,Para Compartir Entre 2 Personas
1476,Limón,Tamaño Fiesta O Reunión
1477,Chocolate,Individual
1478,Salado Tradicional,Familiar
1479,Limón,Familiar
1480,Dulce,Para Compartir Entre 2 Personas
1481,Queso,Individual
1482,Salado Tradicional,Para Compartir Entre 2 Personas
1483,Barbacoa,Para Compartir Entre 2 Personas
1484,Queso,Para Compartir Entre 2 Personas
1485,Jalapeño,Familiar
1486,Limón,Individual
1487,Jalapeño,Individual
1488,Chocolate,Familiar
1489,Dulce,Tamaño Fiesta O Reunión
1490,Queso,Para Compartir Entre 2 Personas
1491,Queso,Para Compartir Entre 2 Personas
1492,Queso,Familiar
1493,Barbacoa,Tamaño Fiesta O Reunión
1494,Jalapeño,Para Compartir Entre 2 Personas
1495,Salado Tradicional,Para Compartir Entre 2 Personas
1496,Queso,Para Compartir Entre 2 Personas
1497,Queso,Para Compartir Entre 2 Personas
1498,Caramelo,Familiar
1499,Barbacoa,Tamaño Fiesta O Reunión
1500,Dulce,Familiar
1501,Limón,Para Compartir Entre 2 Personas
1502,Picante Chapín,Para Compartir Entre 2 Personas
1503,Picante Chapín,Individual
1504,Limón,Individual
1505,Queso,Familiar
1506,Chocolate,Para Compartir Entre 2 Personas
1507,Limón,Para Compartir Entre 2 Personas
1508,Limón,Individual
1509,Barbacoa,Familiar
1510,Picante Chapín,Familiar
1511,Queso,Individual
1512,Queso,Familiar
1513,Jalapeño,Tamaño Fiesta O Reunión
1514,Limón,Familiar
1515,No Indicado,Tamaño Fiesta O Reunión
1516,Picante Chapín,Familiar
1517,Barbacoa,Familiar
1518,Jalapeño,Familiar
1519,Dulce,Individual
1520,Jalapeño,Tamaño Fiesta O Reunión
1521,Barbacoa,Individual
1522,Limón,Individual
1523,Queso,Tamaño Fiesta O Reunión
1524,Picante Chapín,Familiar
1525,Jalapeño,Para Compartir Entre 2 Personas
1526,Caramelo,Familiar
1527,Jalapeño,Para Compartir Entre 2 Personas
1528,Barbacoa,Tamaño Fiesta O Reunión
1529,Limón,Familiar
1530,Jalapeño,Familiar
1531,Chocolate,Individual
1532,Jalapeño,Para Compartir Entre 2 Personas
1533,Limón,Individual
1534,Chocolate,Tamaño Fiesta O Reunión
1535,Limón,Para Compartir Entre 2 Personas
1536,Picante Chapín,Familiar
1537,Picante Chapín,Para Compartir Entre 2 Personas
1538,Salado Tradicional,Familiar
1539,Queso,Tamaño Fiesta O Reunión
1540,Jalapeño,Familiar
1541,Limón,Tamaño Fiesta O Reunión
1542,Jalapeño,Para Compartir Entre 2 Personas
1543,Jalapeño,Individual
1544,Dulce,Individual
1545,Picante Chapín,Familiar
1546,Chocolate,Individual
1547,No Indicado,Familiar
