EncuestaID,FechaEncuesta,FrecuenciaConsumoSnacks,LugarCompraSnacks,ConQuienVePartidos,GastoSnacksPartido,GastoPromedio
639,24 Enero 2026,3 A 5 Veces Por Semana,Aplicación De Delivery,Familia,Q101 - Q150,125.5
640,09 Mayo 2026,Varias Veces Al Mes,Aplicación De Delivery,Familia,Q101 - Q150,125.5
641,04 Abril 2026,Varias Veces Al Mes,Tienda De Barrio,Amigos,Q25 - Q50,37.5
642,01 Abril 2026,Varias Veces Al Mes,Tienda De Barrio,Amigos,Q51 - Q100,75.5
643,22 Abril 2026,1 A 2 Veces Por Semana,Tienda De Barrio,Familia,Q25 - Q50,37.5
644,15 Enero 2026,1 A 2 Veces Por Semana,Supermercado,Familia,Q51 - Q100,75.5
645,12 Abril 2026,Varias Veces Al Mes,Supermercado,Familia,Q51 - Q100,75.5
646,25 Marzo 2026,Varias Veces Al Mes,Supermercado,Familia,Menos De Q25,12.5
647,10 Febrero 2026,3 A 5 Veces Por Semana,Gasolinera,Familia,Q101 - Q150,125.5
648,15 Abril 2026,Todos Los Días,Gasolinera,Amigos,Q51 - Q100,75.5
649,12 Abril 2026,Rara Vez,Supermercado,Familia,Q51 - Q100,75.5
650,20 Marzo 2026,1 A 2 Veces Por Semana,Supermercado,Otro,Más De Q150,175.0
651,30 Enero 2026,3 A 5 Veces Por Semana,Tienda De Barrio,Amigos,Q101 - Q150,125.5
652,25 Enero 2026,Rara Vez,Gasolinera,Solo,Q25 - Q50,37.5
653,29 Enero 2026,Todos Los Días,Tienda De Barrio,Amigos,Q101 - Q150,125.5
654,30 Abril 2026,1 A 2 Veces Por Semana,Supermercado,Amigos,Q51 - Q100,75.5
655,14 Abril 2026,1 A 2 Veces Por Semana,Supermercado,Familia,Menos De Q25,12.5
656,13 Abril 2026,Todos Los Días,Supermercado,Familia,Q51 - Q100,75.5
657,21 Marzo 2026,1 A 2 Veces Por Semana,Gasolinera,Familia,Q25 - Q50,37.5
658,16 Febrero 2026,3 A 5 Veces Por Semana,Aplicación De Delivery,Familia,Q51 - Q100,75.5
659,08 Abril 2026,Todos Los Días,Tienda De Barrio,Familia,Menos De Q25,12.5
660,12 Enero 2026,1 A 2 Veces Por Semana,Supermercado,Familia,Más De Q150,175.0
661,01 Marzo 2026,3 A 5 Veces Por Semana,Supermercado,Familia,Q51 - Q100,75.5
662,04 Marzo 2026,Rara Vez,Tienda De Barrio,Amigos,Más De Q150,175.0
663,13 Febrero 2026,Varias Veces Al Mes,Tienda De Barrio,Amigos,Q51 - Q100,75.5
664,27 Abril 2026,Varias Veces Al Mes,Supermercado,Amigos,Q25 - Q50,37.5
665,28 Marzo 2026,Todos Los Días,Gasolinera,Familia,Q25 - Q50,37.5
666,26 Marzo 2026,Todos Los Días,Supermercado,Solo,Q25 - Q50,37.5
667,10 Enero 2026,Todos Los Días,Supermercado,Familia,Q101 - Q150,125.5
668,27 Marzo 2026,3 A 5 Veces Por Semana,Kiosco Escolar/Universitario,Compañeros De Trabajo,Q51 - Q100,75.5
669,11 Abril 2026,1 A 2 Veces Por Semana,Supermercado,Amigos,Q101 - Q150,125.5
670,23 Enero 2026,1 A 2 Veces Por Semana,Gasolinera,Otro,Q25 - Q50,37.5
671,10 Marzo 2026,Todos Los Días,Gasolinera,Solo,Q51 - Q100,75.5
672,01 Marzo 2026,Todos Los Días,Kiosco Escolar/Universitario,Amigos,Q51 - Q100,75.5
673,14 Enero 2026,Varias Veces Al Mes,Gasolinera,Compañeros De Trabajo,Q25 - Q50,37.5
674,09 Febrero 2026,1 A 2 Veces Por Semana,Tienda De Barrio,Familia,Menos De Q25,12.5
675,28 Marzo 2026,3 A 5 Veces Por Semana,Tienda De Barrio,Otro,Q101 - Q150,125.5
676,21 Abril 2026,3 A 5 Veces Por Semana,Tienda De Barrio,Familia,Menos De Q25,12.5
677,05 Febrero 2026,Varias Veces Al Mes,Supermercado,Solo,Q25 - Q50,37.5
678,29 Enero 2026,3 A 5 Veces Por Semana,Supermercado,Familia,Q25 - Q50,37.5
679,04 Abril 2026,1 A 2 Veces Por Semana,Kiosco Escolar/Universitario,Amigos,Q51 - Q100,75.5
680,28 Febrero 2026,3 A 5 Veces Por Semana,Tienda De Barrio,Familia,Q25 - Q50,37.5
681,23 Febrero 2026,3 A 5 Veces Por Semana,Supermercado,Familia,Q101 - Q150,125.5
682,10 Abril 2026,Todos Los Días,Tienda De Barrio,Amigos,Menos De Q25,12.5
683,13 Febrero 2026,3 A 5 Veces Por Semana,Aplicación De Delivery,Amigos,Q25 - Q50,37.5
684,10 Febrero 2026,3 A 5 Veces Por Semana,Supermercado,Familia,Q25 - Q50,37.5
685,02 Mayo 2026,1 A 2 Veces Por Semana,Aplicación De Delivery,Otro,Q51 - Q100,75.5
686,10 Marzo 2026,Todos Los Días,Gasolinera,Familia,Q25 - Q50,37.5
687,05 Mayo 2026,1 A 2 Veces Por Semana,Kiosco Escolar/Universitario,Otro,Más De Q150,175.0
688,09 Mayo 2026,1 A 2 Veces Por Semana,Aplicación De Delivery,Amigos,Menos De Q25,12.5
689,25 Febrero 2026,1 A 2 Veces Por Semana,Tienda De Barrio,Familia,Menos De Q25,12.5
1961,09 Mayo 2026,Varias Veces Al Mes,Tienda De Barrio,Otro,Q25 - Q50,37.5
691,20 Abril 2026,1 A 2 Veces Por Semana,Supermercado,Familia,Q101 - Q150,125.5
692,31 Marzo 2026,3 A 5 Veces Por Semana,Aplicación De Delivery,Amigos,Q101 - Q150,125.5
693,28 Abril 2026,Varias Veces Al Mes,Gasolinera,Amigos,Menos De Q25,12.5
694,18 Abril 2026,1 A 2 Veces Por Semana,Supermercado,Amigos,Q25 - Q50,37.5
695,01 Abril 2026,3 A 5 Veces Por Semana,Tienda De Barrio,Amigos,Q25 - Q50,37.5
696,19 Abril 2026,1 A 2 Veces Por Semana,Supermercado,Familia,Menos De Q25,12.5
697,06 Mayo 2026,3 A 5 Veces Por Semana,Supermercado,Familia,Q101 - Q150,125.5
698,16 Enero 2026,Todos Los Días,Gasolinera,Amigos,Q25 - Q50,37.5
699,17 Enero 2026,Todos Los Días,Tienda De Barrio,Amigos,Q51 - Q100,75.5
700,06 Febrero 2026,1 A 2 Veces Por Semana,Aplicación De Delivery,Otro,Menos De Q25,12.5
701,12 Marzo 2026,3 A 5 Veces Por Semana,Otro,Familia,Q25 - Q50,37.5
702,09 Febrero 2026,1 A 2 Veces Por Semana,Tienda De Barrio,Amigos,Q25 - Q50,37.5
703,09 Marzo 2026,3 A 5 Veces Por Semana,Tienda De Barrio,Solo,Q101 - Q150,125.5
704,28 Enero 2026,1 A 2 Veces Por Semana,Gasolinera,Compañeros De Trabajo,Q25 - Q50,37.5
705,01 Marzo 2026,1 A 2 Veces Por Semana,Aplicación De Delivery,Familia,Q101 - Q150,125.5
706,02 Abril 2026,Varias Veces Al Mes,Kiosco Escolar/Universitario,Familia,Menos De Q25,12.5
707,21 Enero 2026,3 A 5 Veces Por Semana,Supermercado,Amigos,Más De Q150,175.0
708,19 Enero 2026,Varias Veces Al Mes,Supermercado,Familia,Q25 - Q50,37.5
709,01 Febrero 2026,Varias Veces Al Mes,Supermercado,Solo,Q51 - Q100,75.5
710,28 Enero 2026,3 A 5 Veces Por Semana,Supermercado,Amigos,Q25 - Q50,37.5
711,27 Enero 2026,3 A 5 Veces Por Semana,Supermercado,Amigos,Q51 - Q100,75.5
712,24 Enero 2026,Varias Veces Al Mes,Kiosco Escolar/Universitario,Familia,Q25 - Q50,37.5
713,21 Enero 2026,3 A 5 Veces Por Semana,Tienda De Barrio,Amigos,Q101 - Q150,125.5
714,30 Enero 2026,1 A 2 Veces Por Semana,Tienda De Barrio,Amigos,Q25 - Q50,37.5
715,29 Abril 2026,1 A 2 Veces Por Semana,Supermercado,Familia,Q51 - Q100,75.5
716,26 Enero 2026,3 A 5 Veces Por Semana,Tienda De Barrio,Compañeros De Trabajo,Q25 - Q50,37.5
717,21 Enero 2026,Todos Los Días,Tienda De Barrio,Amigos,Más De Q150,175.0
718,28 Abril 2026,3 A 5 Veces Por Semana,Tienda De Barrio,Solo,Q51 - Q100,75.5
719,09 Febrero 2026,1 A 2 Veces Por Semana,Supermercado,Familia,Q101 - Q150,125.5
720,18 Marzo 2026,3 A 5 Veces Por Semana,Otro,Amigos,Q51 - Q100,75.5
721,01 Mayo 2026,Varias Veces Al Mes,Kiosco Escolar/Universitario,Familia,Menos De Q25,12.5
722,13 Abril 2026,1 A 2 Veces Por Semana,Tienda De Barrio,Amigos,Menos De Q25,12.5
723,15 Febrero 2026,Varias Veces Al Mes,Tienda De Barrio,Familia,Q101 - Q150,125.5
724,04 Abril 2026,3 A 5 Veces Por Semana,Supermercado,Familia,Q25 - Q50,37.5
725,23 Abril 2026,Rara Vez,Gasolinera,Familia,Menos De Q25,12.5
726,26 Enero 2026,3 A 5 Veces Por Semana,Aplicación De Delivery,Familia,Q25 - Q50,37.5
727,21 Abril 2026,Todos Los Días,Tienda De Barrio,Familia,Q101 - Q150,125.5
728,13 Enero 2026,3 A 5 Veces Por Semana,Tienda De Barrio,Familia,Q25 - Q50,37.5
729,21 Febrero 2026,3 A 5 Veces Por Semana,Kiosco Escolar/Universitario,Familia,Más De Q150,175.0
730,22 Enero 2026,Todos Los Días,Otro,Familia,Q101 - Q150,125.5
731,02 Marzo 2026,3 A 5 Veces Por Semana,Tienda De Barrio,Amigos,Q25 - Q50,37.5
732,25 Enero 2026,3 A 5 Veces Por Semana,Supermercado,Amigos,Q51 - Q100,75.5
733,01 Mayo 2026,1 A 2 Veces Por Semana,Tienda De Barrio,Familia,Q51 - Q100,75.5
734,04 Marzo 2026,1 A 2 Veces Por Semana,Tienda De Barrio,Amigos,Menos De Q25,12.5
735,02 Febrero 2026,3 A 5 Veces Por Semana,Aplicación De Delivery,Familia,Q25 - Q50,37.5
736,07 Febrero 2026,3 A 5 Veces Por Semana,Supermercado,Compañeros De Trabajo,Q51 - Q100,75.5
737,20 Enero 2026,3 A 5 Veces Por Semana,Supermercado,Familia,Menos De Q25,12.5
738,04 Abril 2026,1 A 2 Veces Por Semana,Tienda De Barrio,Amigos,Q25 - Q50,37.5
739,20 Enero 2026,Todos Los Días,Tienda De Barrio,Familia,Q51 - Q100,75.5
740,22 Marzo 2026,3 A 5 Veces Por Semana,Tienda De Barrio,Otro,Q25 - Q50,37.5
741,20 Febrero 2026,Varias Veces Al Mes,Tienda De Barrio,Amigos,Más De Q150,175.0
742,13 Febrero 2026,Todos Los Días,Tienda De Barrio,Familia,Menos De Q25,12.5
743,13 Marzo 2026,1 A 2 Veces Por Semana,Gasolinera,Solo,Q25 - Q50,37.5
744,17 Febrero 2026,3 A 5 Veces Por Semana,Kiosco Escolar/Universitario,Compañeros De Trabajo,Q51 - Q100,75.5
745,06 Marzo 2026,1 A 2 Veces Por Semana,Tienda De Barrio,Solo,Q25 - Q50,37.5
746,09 Mayo 2026,Varias Veces Al Mes,Tienda De Barrio,Amigos,Q25 - Q50,37.5
747,02 Mayo 2026,3 A 5 Veces Por Semana,Tienda De Barrio,Familia,Q101 - Q150,125.5
748,15 Abril 2026,1 A 2 Veces Por Semana,Supermercado,Amigos,Q25 - Q50,37.5
749,29 Enero 2026,3 A 5 Veces Por Semana,Supermercado,Familia,Q51 - Q100,75.5
750,27 Marzo 2026,Varias Veces Al Mes,Supermercado,Familia,Más De Q150,175.0
751,20 Febrero 2026,Rara Vez,Gasolinera,Compañeros De Trabajo,Q25 - Q50,37.5
752,03 Febrero 2026,3 A 5 Veces Por Semana,Supermercado,Compañeros De Trabajo,Q51 - Q100,75.5
753,25 Febrero 2026,Todos Los Días,Gasolinera,Amigos,Q101 - Q150,125.5
754,28 Marzo 2026,3 A 5 Veces Por Semana,Tienda De Barrio,Amigos,Q25 - Q50,37.5
755,02 Abril 2026,1 A 2 Veces Por Semana,Supermercado,Familia,Q51 - Q100,75.5
756,18 Marzo 2026,1 A 2 Veces Por Semana,Tienda De Barrio,Solo,Q25 - Q50,37.5
757,16 Abril 2026,3 A 5 Veces Por Semana,Otro,Familia,Menos De Q25,12.5
758,20 Marzo 2026,Varias Veces Al Mes,Gasolinera,Familia,Q25 - Q50,37.5
759,21 Enero 2026,Varias Veces Al Mes,Supermercado,Amigos,Más De Q150,175.0
760,03 Febrero 2026,3 A 5 Veces Por Semana,Supermercado,Familia,Menos De Q25,12.5
761,09 Febrero 2026,1 A 2 Veces Por Semana,Tienda De Barrio,Compañeros De Trabajo,Q25 - Q50,37.5
762,14 Marzo 2026,Todos Los Días,Tienda De Barrio,Amigos,Q101 - Q150,125.5
763,28 Abril 2026,1 A 2 Veces Por Semana,Supermercado,Amigos,Q25 - Q50,37.5
764,20 Febrero 2026,Todos Los Días,Kiosco Escolar/Universitario,Amigos,Q25 - Q50,37.5
765,31 Enero 2026,1 A 2 Veces Por Semana,Tienda De Barrio,Familia,Más De Q150,175.0
766,13 Enero 2026,Varias Veces Al Mes,Gasolinera,Amigos,Q25 - Q50,37.5
767,20 Febrero 2026,Varias Veces Al Mes,Aplicación De Delivery,Compañeros De Trabajo,Q101 - Q150,125.5
768,30 Abril 2026,1 A 2 Veces Por Semana,Supermercado,Familia,Q51 - Q100,75.5
769,14 Marzo 2026,3 A 5 Veces Por Semana,Aplicación De Delivery,Compañeros De Trabajo,Más De Q150,175.0
770,19 Enero 2026,1 A 2 Veces Por Semana,Supermercado,Amigos,Q25 - Q50,37.5
771,01 Abril 2026,3 A 5 Veces Por Semana,Aplicación De Delivery,Familia,Q101 - Q150,125.5
772,10 Mayo 2026,3 A 5 Veces Por Semana,Aplicación De Delivery,Familia,Menos De Q25,12.5
773,18 Febrero 2026,Todos Los Días,Kiosco Escolar/Universitario,Amigos,Q25 - Q50,37.5
774,23 Febrero 2026,1 A 2 Veces Por Semana,Tienda De Barrio,Amigos,Q25 - Q50,37.5
775,23 Febrero 2026,3 A 5 Veces Por Semana,Supermercado,Compañeros De Trabajo,Menos De Q25,12.5
776,14 Enero 2026,Todos Los Días,Tienda De Barrio,Amigos,Q25 - Q50,37.5
777,06 Mayo 2026,Rara Vez,Aplicación De Delivery,Familia,Q51 - Q100,75.5
778,24 Enero 2026,Rara Vez,Tienda De Barrio,Familia,Q51 - Q100,75.5
779,29 Abril 2026,1 A 2 Veces Por Semana,Supermercado,Compañeros De Trabajo,Q25 - Q50,37.5
780,05 Mayo 2026,Todos Los Días,Kiosco Escolar/Universitario,Otro,Menos De Q25,12.5
781,16 Abril 2026,3 A 5 Veces Por Semana,Supermercado,Amigos,Q25 - Q50,37.5
782,06 Febrero 2026,1 A 2 Veces Por Semana,Supermercado,Amigos,Q51 - Q100,75.5
783,04 Marzo 2026,Todos Los Días,Tienda De Barrio,Solo,Q25 - Q50,37.5
784,22 Abril 2026,1 A 2 Veces Por Semana,No Indicado,Familia,Q25 - Q50,37.5
785,17 Febrero 2026,1 A 2 Veces Por Semana,Gasolinera,Amigos,Menos De Q25,12.5
786,08 Febrero 2026,Todos Los Días,Aplicación De Delivery,Familia,Q25 - Q50,37.5
787,18 Enero 2026,3 A 5 Veces Por Semana,Gasolinera,Amigos,Q25 - Q50,37.5
788,25 Febrero 2026,1 A 2 Veces Por Semana,Tienda De Barrio,Solo,Q25 - Q50,37.5
789,01 Marzo 2026,Todos Los Días,Kiosco Escolar/Universitario,Compañeros De Trabajo,Más De Q150,175.0
790,24 Marzo 2026,3 A 5 Veces Por Semana,Kiosco Escolar/Universitario,Familia,Q51 - Q100,75.5
791,14 Febrero 2026,Todos Los Días,Tienda De Barrio,Familia,Q25 - Q50,37.5
792,09 Abril 2026,1 A 2 Veces Por Semana,Kiosco Escolar/Universitario,Compañeros De Trabajo,Q51 - Q100,75.5
793,02 Mayo 2026,Todos Los Días,Tienda De Barrio,Familia,Q25 - Q50,37.5
794,09 Marzo 2026,3 A 5 Veces Por Semana,Tienda De Barrio,Amigos,Menos De Q25,12.5
795,20 Febrero 2026,1 A 2 Veces Por Semana,Supermercado,Solo,Q25 - Q50,37.5
796,30 Enero 2026,1 A 2 Veces Por Semana,Gasolinera,Compañeros De Trabajo,Q51 - Q100,75.5
797,18 Febrero 2026,3 A 5 Veces Por Semana,Tienda De Barrio,Amigos,Q51 - Q100,75.5
798,14 Marzo 2026,1 A 2 Veces Por Semana,Otro,Compañeros De Trabajo,Q101 - Q150,125.5
799,25 Abril 2026,3 A 5 Veces Por Semana,Otro,Amigos,Q25 - Q50,37.5
800,01 Mayo 2026,Todos Los Días,Supermercado,Familia,Menos De Q25,12.5
801,25 Febrero 2026,Varias Veces Al Mes,Kiosco Escolar/Universitario,Compañeros De Trabajo,Q51 - Q100,75.5
802,10 Marzo 2026,Varias Veces Al Mes,Kiosco Escolar/Universitario,Amigos,Más De Q150,175.0
803,27 Enero 2026,Todos Los Días,Gasolinera,Amigos,Menos De Q25,12.5
804,03 Febrero 2026,3 A 5 Veces Por Semana,Otro,Familia,Q51 - Q100,75.5
805,27 Enero 2026,1 A 2 Veces Por Semana,Supermercado,Familia,Q51 - Q100,75.5
806,11 Enero 2026,Todos Los Días,Gasolinera,Familia,Q25 - Q50,37.5
807,16 Abril 2026,3 A 5 Veces Por Semana,Supermercado,Amigos,Menos De Q25,12.5
808,26 Marzo 2026,Todos Los Días,Gasolinera,Solo,Más De Q150,175.0
809,10 Abril 2026,Rara Vez,Supermercado,Otro,Q51 - Q100,75.5
810,20 Marzo 2026,1 A 2 Veces Por Semana,Tienda De Barrio,Amigos,Q25 - Q50,37.5
811,07 Marzo 2026,3 A 5 Veces Por Semana,Tienda De Barrio,Familia,Q25 - Q50,37.5
812,19 Enero 2026,3 A 5 Veces Por Semana,Supermercado,Otro,Menos De Q25,12.5
813,07 Abril 2026,Todos Los Días,Tienda De Barrio,Amigos,Q25 - Q50,37.5
814,11 Febrero 2026,1 A 2 Veces Por Semana,Tienda De Barrio,Compañeros De Trabajo,Menos De Q25,12.5
815,03 Marzo 2026,3 A 5 Veces Por Semana,Supermercado,Amigos,Q25 - Q50,37.5
816,25 Marzo 2026,1 A 2 Veces Por Semana,Gasolinera,Familia,Q101 - Q150,125.5
817,03 Mayo 2026,1 A 2 Veces Por Semana,Otro,Amigos,Q51 - Q100,75.5
818,25 Febrero 2026,1 A 2 Veces Por Semana,Supermercado,Amigos,Q25 - Q50,37.5
819,08 Marzo 2026,Varias Veces Al Mes,Tienda De Barrio,Amigos,Q25 - Q50,37.5
820,12 Febrero 2026,3 A 5 Veces Por Semana,Aplicación De Delivery,Solo,Q101 - Q150,125.5
821,21 Enero 2026,Todos Los Días,Tienda De Barrio,Amigos,Q25 - Q50,37.5
822,14 Enero 2026,Varias Veces Al Mes,Otro,Amigos,Q25 - Q50,37.5
823,30 Marzo 2026,Varias Veces Al Mes,Aplicación De Delivery,Otro,Q51 - Q100,75.5
824,18 Enero 2026,Todos Los Días,Supermercado,Familia,Q25 - Q50,37.5
825,13 Abril 2026,Rara Vez,Aplicación De Delivery,Amigos,Menos De Q25,12.5
826,19 Enero 2026,3 A 5 Veces Por Semana,Supermercado,Amigos,Q51 - Q100,75.5
827,30 Marzo 2026,1 A 2 Veces Por Semana,Supermercado,Amigos,Menos De Q25,12.5
828,18 Marzo 2026,3 A 5 Veces Por Semana,Supermercado,Familia,Menos De Q25,12.5
829,08 Febrero 2026,3 A 5 Veces Por Semana,Tienda De Barrio,Solo,Q25 - Q50,37.5
830,14 Abril 2026,Varias Veces Al Mes,Supermercado,Solo,Q101 - Q150,125.5
831,08 Mayo 2026,3 A 5 Veces Por Semana,Supermercado,Familia,Q101 - Q150,125.5
832,30 Abril 2026,1 A 2 Veces Por Semana,Aplicación De Delivery,Compañeros De Trabajo,Menos De Q25,12.5
833,29 Marzo 2026,3 A 5 Veces Por Semana,Gasolinera,Familia,Q51 - Q100,75.5
834,25 Febrero 2026,3 A 5 Veces Por Semana,Gasolinera,Familia,Q25 - Q50,37.5
835,08 Marzo 2026,1 A 2 Veces Por Semana,Supermercado,Familia,Menos De Q25,12.5
836,02 Febrero 2026,Todos Los Días,Aplicación De Delivery,Familia,Q25 - Q50,37.5
837,12 Abril 2026,Varias Veces Al Mes,Tienda De Barrio,Familia,Q25 - Q50,37.5
838,26 Enero 2026,Todos Los Días,Tienda De Barrio,Amigos,Q51 - Q100,75.5
839,04 Febrero 2026,3 A 5 Veces Por Semana,Tienda De Barrio,Familia,Q51 - Q100,75.5
840,23 Enero 2026,1 A 2 Veces Por Semana,Supermercado,Otro,Q25 - Q50,37.5
841,10 Mayo 2026,1 A 2 Veces Por Semana,Gasolinera,Amigos,Q101 - Q150,125.5
842,21 Enero 2026,1 A 2 Veces Por Semana,Tienda De Barrio,Otro,Menos De Q25,12.5
843,13 Abril 2026,Varias Veces Al Mes,Gasolinera,Amigos,Q101 - Q150,125.5
844,13 Febrero 2026,3 A 5 Veces Por Semana,Aplicación De Delivery,Familia,Q101 - Q150,125.5
845,06 Marzo 2026,Todos Los Días,Tienda De Barrio,Amigos,Q25 - Q50,37.5
846,26 Febrero 2026,3 A 5 Veces Por Semana,Gasolinera,Amigos,Q51 - Q100,75.5
847,23 Marzo 2026,1 A 2 Veces Por Semana,Otro,Familia,Q101 - Q150,125.5
848,08 Marzo 2026,Todos Los Días,Supermercado,Amigos,Menos De Q25,12.5
849,12 Enero 2026,3 A 5 Veces Por Semana,Tienda De Barrio,Familia,Q25 - Q50,37.5
850,08 Marzo 2026,1 A 2 Veces Por Semana,Tienda De Barrio,Amigos,Q25 - Q50,37.5
851,22 Enero 2026,3 A 5 Veces Por Semana,Supermercado,Amigos,Q51 - Q100,75.5
852,27 Febrero 2026,Todos Los Días,Gasolinera,Solo,Q25 - Q50,37.5
853,12 Abril 2026,Varias Veces Al Mes,Supermercado,Familia,Menos De Q25,12.5
854,02 Abril 2026,3 A 5 Veces Por Semana,Tienda De Barrio,Compañeros De Trabajo,Más De Q150,175.0
855,24 Marzo 2026,3 A 5 Veces Por Semana,Tienda De Barrio,Familia,Q25 - Q50,37.5
856,17 Abril 2026,1 A 2 Veces Por Semana,Supermercado,Amigos,Q51 - Q100,75.5
857,16 Abril 2026,1 A 2 Veces Por Semana,Supermercado,Amigos,Q51 - Q100,75.5
858,04 Marzo 2026,Todos Los Días,Gasolinera,Familia,Menos De Q25,12.5
859,28 Enero 2026,Rara Vez,Tienda De Barrio,Familia,Q51 - Q100,75.5
860,28 Abril 2026,3 A 5 Veces Por Semana,Gasolinera,Amigos,Q51 - Q100,75.5
861,22 Marzo 2026,3 A 5 Veces Por Semana,Tienda De Barrio,Solo,Q25 - Q50,37.5
862,24 Enero 2026,1 A 2 Veces Por Semana,Gasolinera,Amigos,Q25 - Q50,37.5
863,23 Marzo 2026,3 A 5 Veces Por Semana,Supermercado,Amigos,Más De Q150,175.0
864,07 Mayo 2026,Varias Veces Al Mes,Tienda De Barrio,Familia,Q25 - Q50,37.5
865,17 Abril 2026,Rara Vez,Otro,Compañeros De Trabajo,Q25 - Q50,37.5
866,02 Abril 2026,Varias Veces Al Mes,Tienda De Barrio,Familia,Q51 - Q100,75.5
867,17 Febrero 2026,1 A 2 Veces Por Semana,Gasolinera,Familia,Q51 - Q100,75.5
868,16 Marzo 2026,1 A 2 Veces Por Semana,Tienda De Barrio,Familia,Q25 - Q50,37.5
869,30 Abril 2026,Varias Veces Al Mes,Otro,Amigos,Q101 - Q150,125.5
870,12 Enero 2026,3 A 5 Veces Por Semana,Tienda De Barrio,Amigos,Q101 - Q150,125.5
871,13 Febrero 2026,3 A 5 Veces Por Semana,Supermercado,Amigos,Q51 - Q100,75.5
872,23 Marzo 2026,1 A 2 Veces Por Semana,Kiosco Escolar/Universitario,Familia,Menos De Q25,12.5
873,27 Abril 2026,3 A 5 Veces Por Semana,Aplicación De Delivery,Amigos,Menos De Q25,12.5
874,19 Enero 2026,Varias Veces Al Mes,Supermercado,Amigos,Q101 - Q150,125.5
875,08 Marzo 2026,3 A 5 Veces Por Semana,Tienda De Barrio,Solo,Más De Q150,175.0
876,09 Marzo 2026,3 A 5 Veces Por Semana,Supermercado,Amigos,Q101 - Q150,125.5
877,16 Enero 2026,Todos Los Días,Gasolinera,Amigos,Menos De Q25,12.5
878,12 Abril 2026,3 A 5 Veces Por Semana,Supermercado,Familia,Q25 - Q50,37.5
879,24 Enero 2026,1 A 2 Veces Por Semana,Gasolinera,Compañeros De Trabajo,Q51 - Q100,75.5
880,10 Febrero 2026,1 A 2 Veces Por Semana,Supermercado,Familia,Q101 - Q150,125.5
881,17 Marzo 2026,1 A 2 Veces Por Semana,Gasolinera,Otro,Menos De Q25,12.5
882,15 Marzo 2026,3 A 5 Veces Por Semana,Tienda De Barrio,Familia,Q25 - Q50,37.5
883,08 Marzo 2026,Varias Veces Al Mes,Gasolinera,Familia,Q101 - Q150,125.5
884,06 Febrero 2026,Todos Los Días,Supermercado,Amigos,Menos De Q25,12.5
885,20 Abril 2026,Varias Veces Al Mes,Tienda De Barrio,Familia,Q25 - Q50,37.5
886,03 Mayo 2026,Todos Los Días,Kiosco Escolar/Universitario,Amigos,Q101 - Q150,125.5
95,18 Marzo 2026,Varias Veces Al Mes,Otro,Familia,Más De Q150,175.0
888,29 Marzo 2026,1 A 2 Veces Por Semana,Aplicación De Delivery,Otro,Q25 - Q50,37.5
889,09 Febrero 2026,1 A 2 Veces Por Semana,Tienda De Barrio,Otro,Q101 - Q150,125.5
890,25 Abril 2026,Varias Veces Al Mes,Aplicación De Delivery,Familia,Q25 - Q50,37.5
891,20 Abril 2026,1 A 2 Veces Por Semana,Supermercado,Solo,Q25 - Q50,37.5
892,28 Marzo 2026,Varias Veces Al Mes,Otro,Amigos,Q51 - Q100,75.5
893,23 Abril 2026,Rara Vez,Tienda De Barrio,Amigos,Q25 - Q50,37.5
894,17 Abril 2026,1 A 2 Veces Por Semana,Supermercado,Amigos,Q25 - Q50,37.5
895,13 Enero 2026,Todos Los Días,Supermercado,Familia,Q51 - Q100,75.5
896,16 Marzo 2026,1 A 2 Veces Por Semana,Supermercado,Familia,Q51 - Q100,75.5
897,03 Mayo 2026,1 A 2 Veces Por Semana,Tienda De Barrio,Familia,Q101 - Q150,125.5
898,19 Febrero 2026,3 A 5 Veces Por Semana,Supermercado,Amigos,Menos De Q25,12.5
899,23 Febrero 2026,3 A 5 Veces Por Semana,Tienda De Barrio,Amigos,Más De Q150,175.0
900,30 Abril 2026,1 A 2 Veces Por Semana,Supermercado,Amigos,Q25 - Q50,37.5
901,14 Febrero 2026,3 A 5 Veces Por Semana,Otro,Amigos,Q25 - Q50,37.5
902,10 Mayo 2026,Todos Los Días,Otro,Solo,Q51 - Q100,75.5
903,21 Febrero 2026,1 A 2 Veces Por Semana,Gasolinera,Amigos,Q25 - Q50,37.5
904,05 Mayo 2026,3 A 5 Veces Por Semana,Supermercado,Compañeros De Trabajo,Q51 - Q100,75.5
905,01 Marzo 2026,Varias Veces Al Mes,Gasolinera,Amigos,Q51 - Q100,75.5
906,25 Febrero 2026,3 A 5 Veces Por Semana,Supermercado,Otro,Menos De Q25,12.5
907,17 Abril 2026,3 A 5 Veces Por Semana,Gasolinera,Familia,Q51 - Q100,75.5
908,25 Marzo 2026,Varias Veces Al Mes,Supermercado,Familia,Menos De Q25,12.5
909,10 Mayo 2026,Varias Veces Al Mes,Tienda De Barrio,Amigos,Q51 - Q100,75.5
910,24 Abril 2026,Todos Los Días,Tienda De Barrio,Familia,Q25 - Q50,37.5
911,22 Enero 2026,Todos Los Días,Supermercado,Amigos,Q25 - Q50,37.5
912,15 Enero 2026,1 A 2 Veces Por Semana,Tienda De Barrio,Familia,Menos De Q25,12.5
913,02 Febrero 2026,3 A 5 Veces Por Semana,Tienda De Barrio,Amigos,Q25 - Q50,37.5
